Name,State,Party,BirthDate,Occupation,PreviousOffice,Education,AssumedOffice,Election,Residence
Richard Shelby,Alabama,Republican,"May 6, 1934 (age 88)",Lawyer,"U.S. House, Alabama Senate","University of Alabama (BA, LLB), Birmingham School of Law (JD)",3-Jan-87,2022,Tuscaloosa
Tommy Tuberville,Alabama,Republican,"September 18, 1954 (age 68)","College football coach, Investment management firm partner",None,Southern Arkansas University (BS),3-Jan-21,2026,Auburn
Lisa Murkowski,Alaska,Republican,"May 22, 1957 (age 65)",Lawyer,Alaska House of Representatives,"Georgetown University (AB), Willamette University (JD)",20-Dec-02,2022,Girdwood
Dan Sullivan,Alaska,Republican,"November 13, 1964 (age 57)","U.S. Marine Corps officer, Lawyer, Assistant Secretary of State for Economic and Business Affairs",Alaska Attorney General,"Harvard University (AB), Georgetown University (MS, JD)",3-Jan-15,2026,Anchorage
Kyrsten Sinema,Arizona,Democratic,"July 12, 1976 (age 46)","Social worker, Political activist, Lawyer, College lecturer","U.S. House, Arizona Senate, Arizona House of Representatives","Brigham Young University (BA), Arizona State University, Tempe (MSW, JD, PhD)",3-Jan-19,2024,Phoenix
Mark Kelly,Arizona,Democratic,"February 21, 1964 (age 58)","U.S. Navy officer, NASA astronaut, Americans for Responsible Solutions Co-founder",None,"United States Merchant Marine Academy (BS), Naval Postgraduate School (MS)",2-Dec-20,2022,Tucson
John Boozman,Arkansas,Republican,"December 10, 1950 (age 71)",Optometrist,"U.S. House, Rogers Public Schools Board","University of Arkansas, Southern College of Optometry (OD)",3-Jan-11,2022,Rogers
Tom Cotton,Arkansas,Republican,"May 13, 1977 (age 45)","Lawyer, United States Army officer",U.S. House,"Harvard University (AB, JD)",3-Jan-15,2026,Dardanelle
Dianne Feinstein,California,Democratic,"June 22, 1933 (age 89)","Nonprofit organization fellow, California Women's Parole Board Member","Mayor of San Francisco, San Francisco Board of Supervisors",Stanford University (BA),10-Nov-92,2024,San Francisco
Alex Padilla,California,Democratic,"March 22, 1973 (age 49)",Engineer,"Secretary of State of California, California Senate, Los Angeles City Council President",Massachusetts Institute of Technology (BS),20-Jan-21,2022,Los Angeles
Michael Bennet,Colorado,Democratic,"November 28, 1964 (age 57)","Lawyer, Investment company executive, Denver Public SchoolsSuperintendent, Chief of staff to the Mayor of Denver",None,"Wesleyan University (BA), Yale University (JD)",21-Jan-09,2022,Denver
John Hickenlooper,Colorado,Democratic,"February 7, 1952 (age 70)","Geologist, Businessman","Governor of Colorado, Mayor of Denver","Wesleyan University (BA, MS)",3-Jan-21,2026,Denver
Richard Blumenthal,Connecticut,Democratic,"February 13, 1946 (age 76)","Marine Corps Reserve Sergeant, Senate staffer, Lawyer, U.S. Attorney","Connecticut Attorney General, Connecticut Senate, Connecticut House of Representatives","Harvard University (AB), Trinity College, Cambridge, Yale University (JD)",3-Jan-11,2022,Greenwich
Chris Murphy,Connecticut,Democratic,"August 3, 1973 (age 49)","Lawyer, Political campaign manager","U.S. House, Connecticut Senate, Connecticut House of Representatives","Williams College (BA), Exeter College, Oxford, University of Connecticut (JD)",3-Jan-13,2024,Hartford
Tom Carper,Delaware,Democratic,"January 23, 1947 (age 75)","U.S. Navy officer, Delaware Office of Economic Development","Governor of Delaware, U.S. House, Delaware Treasurer","Ohio State University (BA), University of Delaware (MBA)",3-Jan-01,2024,Wilmington
